id,brand,title,description,price,priceCurrency
83507493,,TP-LINK TL-WN781ND 150Mbps Wireless N PCI Express Adapter,,4599,HUF
52762800,,"Card de Memorie MicroSDXC Kingston Canvas Select 80R, 64GB, Clasa 10 UHS-I, 80/10 MB/s, adaptor SD","MicroSDXC Kingston, 64GB, Canvas Select 80R, Clasa 10 UHS-I, 80/10 MB/s, adaptor SD",42.0168,RON
5108805,Cooler Master,Cooler Master MasterCase H500 RGB Case,Cooler Master MasterCase H500 RGB Case – PC Case Gear – Australia’s Premier Online PC Store.,149,AUD
56034511,TP-Link,TP-Link AC600 T2U Wireless USB Nano Adapter,TP-Link AC600 T2U Wireless USB Nano Adapter,12.95,EUR
19403571,,ASUS ROG Strix B550-F Gaming Motherboard,"ASUS ROG Strix B550-F Gaming MB, B550, 4x DDR4, 1x PCI-E 4.0 x16, 1x PCIE3.0 x16, 2x M.2, 6x SATA3, 8x USB 3.2, DisplayPort, HDMI 2.1, ATX, 2.5Gb LAN, Aura RGB",289.00,AUD
12294566,Garmin,Relógio Garmin Venu 010-02173-12 Venu,GPS Smartwatch with AMOLED screen,379.99,EUR
59671298,DANIEL WELLINGTON,Relgio DANIEL WELLINGTON Classic Black Cornwall,Relgio DANIEL WELLINGTON Classic Black Cornwall,139.00,EUR
18363535,,Scheda di rete wireless n 300mbps usb tp-link tl-wn821n,TP-LINK TL-WN821N WIRELESS USB ADAPTER N 300 MBPS,9.26,EUR
96142146,,Manfrotto BEFREE ADVANCED ALU TRAVEL LEVER BH BLK,Sporting a 17.6 lb load capacity at a weight of only 3.6 lbthe black Befree Advanced Travel Tripod from Manfrotto is a robust support option that can serve as a convenient travel companion for professional photographers and passionate hobbyists alike. It features a full aluminum-alloy construction and reaches a maximum height of 59.1 inchwith its column extendedfolding down to 15.7 inchin length for simplified transport in its included carrying case.Each leg of the Befree Advanced is composed of four sectionswhich can be adjusted and securely locked into place with the QPL lever locks found on all segments. A side-pull selector allows you to set up the tripod at three different angle configurationsenabling low angle shooting with the simple push of a button. Complementing the legs is an equally sturdy center ball headwhich offers a dedicated knob for panoramic movement as well as a friction control knob for precise control over the tension during use. The final element is a quick release platewhich offers dual compatibility for RC2 and Arca-type compatible systemsexcept for the Manfrotto 804-3W and MH804-3W tripod heads.An Easy Link attachment is available at the top portion of the leg sectionand allows you to connect compatible accessories such as flashes or reflectors. This enables you to use the tripod as a support system and reduce the amount of gear you need to carry while travelling. Rubberized feet are used to avoid skidding and help keep the Befree Advanced stable in most types of terrain. Finallyan integrated hook found at the bottom can be used to add a weight and increase the stability of your tripod when shooting in more difficult conditions.FeaturesLoad Capacity: 17.6 lbMax Height: 59.1 inchFolded Length: 15.7 inchLeg Sections: 4Weight: 3.6 lb494 Ball Head with Pan & Friction KnobsRC2 and Arca-Type Compatible QR PlateQPL Lever Leg LocksEasy Link Attachment and Integrated HookThree Leg Angles with Side-Pull Selector,399.00,NZD
88763955,,TP-Link Wireless-N Usb Adapter (TL-WN821N),"Excellent N speed brings the best experience for HD video streaming or Internet calls.MIMO technology with stronger signal penetration strength, wider wireless coverage, providing better performance and stabilityEasy wireless security encryption at a push of the WPS buttonSupports Windows XP / Vista / 7 / 8 / 8.1, Mac OS X 10.7~10.10, Linux",16,AUD
