id,description,brand,model,mp,optical_zoom,digital_zoom,screen_size,price,type
0,"aiptek dv 4500 camcorder camera best price in india 2014, specs and review | valid in delhi, mumbai, bangalore, hyderabad, chennai, kolkata, ahmedabad, surat | price-hunt",aiptek,dv 4500,,,,,,
1,aiptek pocket dv 6800 3 0 mp digital camera black 4719851872457 | ebay,aiptek,dv 6800,3.0,,,2.4,,point & shoot
2,"aiptek dv m2 point & shoot camera best price in india 2014, specs and review | valid in delhi, mumbai, bangalore, hyderabad, chennai, kolkata, ahmedabad, surat | price-hunt",aiptek,dv m2,,16.0,4.0,,,
3,aiptek 3d hd camcorder i2 black | ebay,aiptek,i2,5.0,,,2.4,,3d
4,aiptek pencam ii vga 2 0 4 mp digital camera yellow untested as is point shoot 653886000802 | ebay,aiptek,,0.4,,,,,point & shoot
5,aiptek pencam trio 0 4 mp digital camera silver | ebay,aiptek,,0.4,,,,,point & shoot
6,vga pencam by aiptek 3 in 1 vga 1024 x 768 resolution | ebay,aiptek,,,,,,,mini digital camera
7,aiptek pocketcam classic 0 3 mp digital camera black 653886000994 | ebay,aiptek,,0.3,,,,,point & shoot
8,"aiptek 1 pro hd camcorder camera best price in india 2014, specs and review | valid in delhi, mumbai, bangalore, hyderabad, chennai, kolkata, ahmedabad, surat | price-hunt",aiptek,,,5.0,5.0,,,
9,aiptek pencam pcm13 compact camera - blue (1248 x 960 image - 624 x 480 video) price comparison at buy.net,aiptek,pcm13,,,,,,compact camera
10,aiptek dzo v50 8 0 mp digital camera video mp3 camcorder only no cord or card | ebay,aiptek,v50,8.0,,,2.4,,point & shoot
11,wholesale for apple iphon5c bumper tpu pc case mix colors - alibaba.com,apple,iphon5c,,,,,,
12,"fashionable camera shaped silicon case for apple iphone 4/4s in shenzhen - buy silicon case for apple iphone,silicon case for apple iphone 4/4s,amera shaped silicon case for apple iphone 4/4s product on alibaba.com",apple,iphone 4,,,,,,
13,"2013 new hot selling waterproof neoprene laptop case - buy waterproof neoprene laptop case,for apple iphone 5 waterproof case,digital camera waterproof case product on alibaba.com",apple,iphone 5,,,,,2.5,
14,wholesale newest special design pc+tpu frame bumper case for iphone5 for apple iphone 5s bumper case - alibaba.com,apple,iphone5,,,,,,
15,"apple macbook pro os x mavericks dual core 2 5ghz 500gb 13 3"" notebook 017856441659 | ebay",apple,md101ll,,,,,,macbook
16,apple quicktake 150 digital camera untested as is | ebay,apple,quicktake 150,,,,,,point & shoot
17,apple quicktake 200 camera | ebay,apple,quicktake 200,,,,,,point & shoot
18,apple quicktake 200 digital camera works 0718908223338 | ebay,apple,quicktake 200,0.3,,,1.8,,point & shoot
19,argus 2 1 megapixel dc 2185 camera 0760215303333 | ebay,argus,dc 2185,2.1,,,,,
20,argus dc 3185 3 2 mp digital camera silver 760215303364 | ebay,argus,dc 3185,3.2,,,1.1,,point & shoot
21,argus dc 3185 3 2 mega pixel digital camera silver new in original package 760215303364 | ebay,argus,dc 3185,3.2,,,1.1,,point & shoot
22,argus dc 6340 6 0 mp digital camera silver | ebay,argus,dc 6340,6.0,3.0,,2.0,,point & shoot
23,"argus dc-1500 digital camera prices, shopping comparison for argus dc 1500, buy online in india - shopmania",argus,dc-1500,,,8.0,2.7,38.93,
24,argus dc1512 0 1 mp digital camera silver 760215303050 | ebay,argus,dc1512,0.1,,,,,point & shoot
25,argus bean sprout vga carabiner digital camera blue 760215303692 | ebay,argus,,0.3,,,,,point & shoot
26,argus 868 focus free panorama camera | ebay,argus,,,,,,,35 mm
27,bell+howell black splash underwater digital video camera - walmart.com,bell+howell,,,,8.0,,,
28,bell+howell blue splash 12.0 megapixel underwater digital and video camera: cameras & camcorders : walmart.com,bell+howell,,12.0,,8.0,,,
29,bell+howell purple splash 12.0 megapixel underwater digital and video: cameras & camcorders : walmart.com,bell+howell,,12.0,,8.0,,,
30,bell+howell s16 ultra-slim 16 megapixel digital camera - walmart.com,bell+howell,s16,16.0,,8.0,,,
31,bell+howell blue s30hdz digital camera with 15 megapixels and 5x optical zoom: cameras & camcorders : walmart.com,bell+howell,s30hdz,15.0,5.0,4.0,,,
32,bell+howell s30hdz hd digital camera - walmart.com,bell+howell,s30hdz,,5.0,4.0,,,
33,bell+howell blue s30hdz digital camera with 15 megapixels and 5x optical zoom: cameras & camcorders : walmart.com,bell+howell,s30hdz,15.0,5.0,4.0,,,
34,bell+howell blue wp10 12.0 megapixel waterproof digital camera: cameras & camcorders : walmart.com,bell+howell,wp10,12.0,,8.0,,,
35,bell+howell yellow splash2 wp16 digital camera with 16 megapixels and 4x digital zoom: cameras & camcorders : walmart.com,bell+howell,wp16,16.0,,4.0,,,
36,bell+howell splash wv30hd yellow 1080p hd waterproof camcorder - walmart.com,bell+howell,wv30hd,,,8.0,,,
