id,name,address,year,agency,amount
0,Coalition for the Homeless,,2013,DHS,150000.0
1,The Bridge Fund,,2013,DHS,50000.0
2,Community Service Society,,2013,DHS,50000.0
3,"Bed Stuy's Project Re-Generation, Inc.","679 Lafayette Avenue, 2nd Floor Brooklyn, NY 11216",2011,DYCD,2000.0
4,"Bed Stuy's Project Re-Generation, Inc.","679 Lafayette Avenue, 2nd Floor Brooklyn, NY 11216",2011,DYCD,10000.0
5,"Bed Stuy's Project Re-Generation, Inc.","679 Lafayette Avenue, 2nd Floor Brooklyn, NY 11216",2011,DYCD,10000.0
6,"Bed Stuy's Project Re-Generation, Inc.","679 Lafayette Avenue Brooklyn, NY 11216",2012,DYCD,10000.0
7,Learning Spring Elementary School,"254 West 29th Street, Floor 4 New York, NY 10001",2009,DOE,10000.0
8,"Friends of Firefighters, Inc.","199 Van Brunt Street Brooklyn, NY 11231",2011,DOHMH,1000.0
9,"Friends of Firefighters, Inc.","199 Van Brunt Street Brooklyn, NY 11231",2011,DOHMH,3500.0
10,"Friends of Firefighters, Inc.","199 Van Brunt Street Brooklyn, NY 11231",2011,DOHMH,4000.0
11,"Friends of Firefighters, Inc.","199 Van Brunt Street Brooklyn, NY 11231",2012,DOHMH,5000.0
12,"Friends of Firefighters, Inc.","199 Van Brunt Street Brooklyn, NY 11231",2012,DOHMH,2500.0
13,"Friends of Firefighters, Inc.","199 Van Brunt Street Brooklyn, NY 11231",2012,DOHMH,5000.0
14,"Friends of Firefighters, Inc.","199 Van Brunt Street Brooklyn, NY 11231",2012,DOHMH,0.0
15,"Friends of Firefighters, Inc.","199 Van Brunt Street Brooklyn, NY 11231",2012,DOHMH,3500.0
16,"Ecuadorian International Center, Inc.","37-47 76th Street Jackson Heights, NY 11372",2011,DYCD,6000.0
17,"Ecuadorian International Center, Inc.","37-47 76th Street Jackson Heights, NY 11372",2011,DYCD,10000.0
18,"Ecuadorian International Center, Inc.","37-47 76th Street Jackson Heights, NY 11372",2011,DYCD,14000.0
19,"Ecuadorian International Center, Inc.","37-47 76th Street Jackson Heights, NY 11372",2011,DYCD,30952.38
20,"Ecuadorian International Center, Inc.","37-47 76th Street Jackson Heights, NY 11372",2011,DYCD,25000.0
21,"Ecuadorian International Center, Inc.","37-47 76th Street Jackson Heights, NY 11372-6533",2012,DYCD,6000.0
22,"Ecuadorian International Center, Inc.","37-47 76th Street Jackson Heights, NY 11372-6533",2012,DYCD,5000.0
23,"Ecuadorian International Center, Inc.","37-47 76th Street Jackson Heights, NY 11372",2012,DYCD,30000.0
24,"Ecuadorian International Center, Inc.","37-47 76th Street Jackson Heights, NY 11372",2012,DYCD,25000.0
25,"Retirees of Dreiser Loop , Inc., The","177 Dreiser Loop, Room 19 Bronx, NY 10475",2011,DFTA,23000.0
26,"Retirees of Dreiser Loop , Inc., The","177 Dreiser Loop Room 19 Bronx, NY 10475",2012,DFTA,48000.0
27,ACTS Community Development Corporation,"2114 Mermaid Avenue Brooklyn, NY 11224",2011,DYCD,5000.0
28,ACTS Community Development Corporation,"2114 Mermaid Avenue Brooklyn, NY 11224",2011,DYCD,5000.0
29,ACTS Community Development Corporation,"1913 West 7th Street Brooklyn, NY 11223",2012,DYCD,5000.0
30,ACTS Community Development Corporation,"1913 West 7th Street Brooklyn, NY 11223",2012,DYCD,5000.0
31,"Council of Urban Professionals, Inc.","55 Exchange Place, Suite 501 New York, NY 10005",2011,DYCD,3000.0
32,"Council of Urban Professionals, Inc.","55 Exchange Place, Suite 501 New York, NY 10005",2011,DYCD,3500.0
33,"Council of Urban Professionals, Inc.","55 Exchange Place, 501 New York, NY 10005",2011,DYCD,3500.0
34,"Council of Urban Professionals, Inc.","55 Exchance Place, Suite 501 New York, NY 10005",2011,DYCD,15000.0
