id1,id2
0,9466
5,146
146,1833
7,133
12,9163
14,9972
19,2091
21,11276
21,6970
6970,11276
24,3795
29,9420
30,10061
194,10061
35,4117
38,9604
3725,9604
39,1830
40,12717
40,9430
9430,12717
42,4078
42,9275
4078,9275
44,861
45,10782
46,3877
47,12915
3908,12915
48,9564
49,13165
50,4670
52,10967
53,3850
56,258
57,258
258,9387
56,57
56,9387
59,112
60,6230
60,11975
6230,11975
68,4013
72,9380
75,3486
76,9455
76,2135
2135,9455
78,12610
12610,13544
80,110
54,82
54,13762
84,1250
1250,6738
88,206
88,9227
206,9227
89,9416
90,11759
11251,11759
90,1855
1855,11251
1855,11759
90,1860
1855,1860
1860,11251
1860,11759
92,9481
3473,9481
93,13065
95,2184
97,9489
3818,9489
97,9565
3818,9565
9489,9565
97,3994
3818,3994
3994,9489
3994,9565
99,183
18,99
18,183
100,9321
361,9321
101,12969
101,13241
12969,13241
104,9176
106,13310
124,13310
13236,13310
107,7435
108,142
31,111
113,7265
113,6708
6708,7265
114,14054
121,9300
124,13236
106,124
106,13236
125,1867
126,12269
70,127
128,13387
129,2366
135,2181
136,5597
137,9631
139,3627
98,141
143,252
145,9289
148,204
148,4883
204,4883
152,8778
157,10412
10412,12578
158,10251
51,159
160,9532
162,196
196,13667
164,11098
4614,11098
11098,11110
165,3337
165,9479
3337,9479
165,3861
3337,3861
3861,9479
166,1846
169,9498
170,3879
3879,9590
173,9527
175,9215
179,13144
181,9332
9332,9480
184,9373
186,3743
186,12344
3743,12344
188,4168
191,4266
171,192
171,2943
193,1868
30,194
58,198
199,1859
168,203
205,9182
239,9182
205,4306
239,4306
4306,9182
207,8894
8894,9861
8894,12194
66,210
211,10813
216,3729
217,232
232,7754
220,12722
223,9280
2165,9280
224,8810
224,11362
8810,11362
225,1845
226,12059
226,3782
3782,12059
86,231
234,256
235,1491
238,10768
205,239
240,7698
241,10494
243,12324
245,2586
180,248
253,12306
255,9499
259,9779
262,4385
264,9579
266,4390
266,12373
4390,12373
267,2180
2180,10830
270,1582
270,2275
1582,2275
271,8888
272,7981
273,485
485,2703
273,309
309,485
309,2703
273,2850
309,2850
485,2850
2703,2850
275,8557
276,12917
276,14098
12917,14098
276,10053
10053,12917
10053,14098
280,320
282,2459
286,8800
287,11609
288,2983
289,353
353,8835
289,8637
353,8637
8637,8835
289,482
353,482
482,8637
482,8835
289,8750
353,8750
482,8750
8637,8750
8750,8835
291,422
291,416
416,422
292,2469
293,474
293,8677
474,8677
293,8868
474,8868
8677,8868
294,8651
295,1366
1366,1372
295,7720
1366,7720
1372,7720
296,8802
298,1415
300,5210
300,5227
5210,5227
301,6021
301,8438
6021,8438
303,8464
303,8921
8464,8921
306,8795
307,5826
310,8521
313,1599
314,491
314,4220
491,4220
315,8745
316,11474
317,3529
3529,4908
318,8685
8539,8685
318,8628
8539,8628
8628,8685
321,7937
324,6613
324,10316
6613,10316
326,13776
1291,13776
328,8693
329,8515
330,8819
330,421
421,8819
332,12864
338,10720
338,8491
8491,10720
338,8516
8491,8516
8516,10720
339,13374
340,8798
342,8575
347,348
347,405
349,9856
351,8532
354,8891
354,8503
8503,8891
355,8839
274,355
274,8839
357,12013
12013,12477
358,3329
305,360
100,361
362,10066
362,377
377,10066
363,7506
364,9881
366,2482
367,10800
368,4265
368,392
392,4265
368,8715
392,8715
4265,8715
370,9184
378,10243
379,8682
380,5176
381,8797
382,1504
384,7468
386,8704
388,8536
390,3803
398,12316
399,12613
290,403
348,405
407,8275
278,408
409,10950
410,13053
410,10205
10205,13053
412,9712
8519,9712
9694,9712
9712,10173
412,11550
8519,11550
9694,11550
9712,11550
10173,11550
413,3645
3638,3645
3645,4665
3645,4719
414,479
417,11169
420,9865
423,8618
8618,11782
424,12553
425,8154
427,8805
428,5688
5595,5688
428,8001
5595,8001
5688,8001
429,8706
435,10239
439,2562
440,10599
441,8649
8578,8649
443,480
443,11677
480,11677
443,6504
480,6504
6504,11677
444,8216
6101,8216
8122,8216
445,7940
446,1918
446,1635
1635,1918
450,3169
451,2508
452,4683
453,7104
455,8585
426,457
426,13806
459,4308
461,9705
463,2673
464,9822
466,8242
466,8263
8242,8263
467,8550
8550,8596
470,2369
472,8758
475,13465
476,5587
478,4762
487,8801
302,489
490,10517
490,3294
3294,10517
391,492
494,8088
494,10683
8088,10683
495,737
495,5146
737,5146
499,508
508,524
501,8102
502,9069
505,1020
506,518
498,506
498,518
507,6643
510,9492
511,6561
511,1001
1001,6561
514,799
517,8245
519,2348
2348,5779
2348,11482
519,11463
2348,11463
5779,11463
11463,11482
520,10344
523,10344
10344,10358
10344,10374
521,528
503,522
523,10358
523,10374
10358,10374
520,523
520,10358
520,10374
499,524
525,956
527,2436
1996,2436
530,3252
531,5305
5305,11495
532,5354
533,5143
534,13013
535,11858
11855,11858
536,13834
537,3182
538,9854
8456,9854
540,13825
541,3825
3825,9286
549,960
551,5250
552,885
885,5307
885,10350
885,10353
885,10366
554,5085
555,844
844,4874
556,781
557,6524
559,11467
559,846
846,11467
560,5125
561,11497
563,5299
565,9339
568,6893
569,766
766,5311
572,5742
573,5327
5293,5327
5327,7155
574,5774
576,5096
5096,12281
578,621
578,958
621,958
579,2277
581,5186
586,875
851,875
588,5157
590,5148
591,5147
5147,5785
592,5178
593,5306
562,594
