id,brand,title,description,price,priceCurrency
533407,Western Digital,WD Blue SN550 1TB M.2 SSD,"(Solid, 1TB, Blue, Drive), M.2, SN550, SSD, State, WD, Western Digital",119,EUR
22587878,,TP-Link AC600 Nano Wireless USB Adapter,"High Speed WiFi, Dual Band Wireless, Nano design, 433Mbps on 5GHz, 200Mbps on 2.4GHz",12.48,GBP
25725051,AMD,AMD Ryzen 5 2600X - 4.25 GHz - 6-core - 12 threads - 19 MB cache - Socket AM4 - Box,"IcecatLive.getDatasheet('#IcecatLive',{'UserName': 'rosedoyle', 'Brand':'AMD','ProductCode':'YD260XBCAFBOX'},'en', 200);SpecificationsGeneralProduct TypeProcessorProcessorType / Form FactorAMD Ryzen 5 2600XNumber of Cores6-coreNumber of Threads12 threadsCache19 MBCache Memory Details19 MBProcessor Qty1Clock Speed4.25 GHzCompatible Processor SocketSocket AM4Thermal Design Power95 WMiscellaneousIncluded AccessoriesAMD Wraith Spire CoolerPackage TypeAMD Processor in a Box (PIB)",296.39,EUR
2952392,Corsair,Carbide 175R RGB Windowed Mid-Tower Case Tempered Glass,Corsair Carbide 175R RGB Windowed Mid-Tower Case Tempered Glass CC-9011171-WW,69.90,EUR
91577206,,Switch D-Link - Web smart - switch - 24 porte - gestito - montabile su rack dgs-1210-28p,24-PORTS POE 10/100/1000MBPS WITH 4 X 1000BASE-T /SFP PORTS- 4 X 1000BASET SFP PORTS,4.0099E2,EUR
43411151,,WD 1TB My Passport Portable Hard Drive,WD 1TB My Passport Portable Hard Drive WD 1TB Black My Passport Portable External Hard Drive - USB 3.0 - WDBYNN0010BBK-WESN,8500.00,KES
36868284,Crucial,Crucial Crucial Memory 4GB DDR3L 1600 1.35V SODIMM Retail CT51264BF160BJ,,64.99,CAD
3789207,RAM Mount,"RAM Mount Triple 1\"" Ball Base Adapter\""","The RAM-B-289U is an additional connector that will allow you to connect TWO devices onto a single Double Clamp Arm connection.What you get:1 x RAM Triple 1\"" Ball Adapter (RAM-B-289U)Note: This listing does NOT include a RAM cradle or Double Clamp Arm, these items will need to be purchased separately.RAM Triple 1\"" Ball Adapter (RAM-B-289U)The RAM-B-289U marine grade aluminum base consists of 3 x 1\"" diameter ball extensions, allowing you to connect up to 2 devices onto a single Double Clamp Arm.* Any device/s shown in image/s is for illustration purposes ONLY and is not included in purchase.",80.00,AUD
91929224,,Epson A4 Premium Glossy Photo Paper,"Glanset fotopapir, 255g/m2, 30 ark",181.00,NOK
77427895,,Seagate IronWolf Pro 6 To,"Disque dur 3.5"" - 7200 tpm - 256 Mo - SATA III - Bulk",224.99,EUR
91650188,Kingston,KINGSTON 8GB 1600MHz DDR3 CL10 DIMM (Kit of 2) HyperX Fury Black Series,,46.68,EUR
62191549,Samsung,"Samsung 27\"" C27F390FHU LED Curved","27\"", 16:9, 1920x1080, MegaDCR/3000:1, 250cd/m2, 4ms, 1xHDMI, Black, LED, Full HD, Hajlított, D-Sub",57989.47,HUF
22007806,Maxxis,"Maxxis Maxxis Minion DHR II Tire: 29 x 2.40"", Folding, 60tpi, 3C MaxxGrip 2- Ply, Tubeless Ready, Wide Trail, Black",,90.00,USD
11178569,,"Monitor Samsung 27"" C27F390FHUX VA 4ms HDMI VGA Curved",LC27F390FHUXEN,689,PLN
42604445,,Mens Daniel Wellington St Mawes 40mm Watch DW00100006,,169.00,GBP
19089912,,"Samsung SSD 1TB 860 Pro SATA 6Gbps 2.5\"" V-NAND MLC 560/530 MB/s Max. 100K IOPS / 90K IOPS 1200TBW endurance /5yrs","SSD Samsung, 1TB, 860 Evo, retail, SATA3, rata transfer r/w: 550/520 mb/s, 7mm",1417.9802,RON
82628958,,Ubiquiti UniFi Video Camera UVC-G4-PRO Infrared IR 4K Video- 802.3af is embedded,Ubiquiti UniFi Video Camera UVC-G4-PRO Infrared IR 4K Video- 802.3af is embedded,763.60,AUD
66123367,Sigma,Sigma 35mm f1.4 DG HSM Art Lens - Nikon Fit,"Wide angle lens with large maximum aperture of F1.4Ultra sharp images with high contrast and superior peripheral brightnessSuper multi-layer lens coating reduces flare and ghostingBenefits from FLD, SLD and Aspherical lens elementsHSM for fast and quiet AF",515.83,GBP
51400506,,JABRA Evolve 40 UC USB - Mono,"The Jabra EVOLVE 40 UC Stereo is a professional headset designed to improve concentration and conversations. Premium noise-canceling technology gives you peace to work in the noisy, open office effectively creating a concentration zone around you, so you can stay focused on the job.The speakers are built for style and comfort with leatherette ear cushions, and are specifically designed to reduce office noise. The concentration zone is completed with a busy-light indicator that signals user availability to colleagues.",1267.00,ZAR
36133874,,CRUCIAL - DDR3 8GB 1600Hz CL11 Unbuffered CT102472BD160B,,131.99,EUR
13618142,,Shimano CN-HG901 CHAIN 11-SPD ROAD/MTB w/QUICK LINK SIL-TEC DURA-ACE / XTR grade,Shimano's top level 11-speed chain for road and MTB riders that want the best drivetrain performance possible.Compatible with both Dura-Ace and XTR groupsets.Includes 1 x quick-link for easy chain removal and installation.Comes with 116 links.Also suitable for use on e-bikes.,63.99,AUD
15456949,,"CORSAIR - iCue 465X RGB White Tempered Glass, Mid-Tower","CORSAIR iCue 465X RGB White Tempered Glass, Mid-Tower (CC-9011189-WW) - Nätaggregat: 0W - Typ: Mid-torn",1679.00,SEK
62422382,Daniel Wellington,Daniel Wellington Classic Sheffield Men 40mm Quartz Watch 0206DW,Free Gift Daniel Wellington Classic SheffieldModel 0206DWTechnical DataCase Size: 40mmWater Resistance: 30mCrown Type: Pull / PushMovement Type: QuartzBand Length: 203 mmMaterialCrystal Type: Scratch Resistant MineralBand Material: LeatherCase Material: Stainless Steel,119,USD
70702847,,Kingston Technology Canvas Select memory card 128 GB MicroSDXC Class 10 UHS-I,"Bring your HD videos to life.Kingston?s Canvas Select? microSD card is designed to be reliable, making it ideal for filming in HD and shooting high-resolution photos. You can be confident that your memories will be safe when documenting life?s adventures on your Android? smartphone or point-and-shoot camera. It?s available in multiple capacities up to 256GB*, to provide plenty of space to capture an entire trip. Kingston Canvas cards are tested to be durable, so you can take them anywhere with the confidence that your photos, videos and other data will be protected, even in harsh or unstable conditions.**- Class 10 UHS-I speeds up to 80MB/s read***- Multiple capacities up to 256GB*- Built and tested to withstand harsh environments* Some of the listed capacity on a Flash storage device is used for formatting and other functions and is thus not available for data storage. As such, the actual available capacity for data storage is less than what is listed on the products. For more information, go to Kingston?s Flash Guide at kingston.com/flashguide.** IEC/EN 60529 IPX7 certified for protection against continual water submersion for up to 30 min. and a depth of up to 1m. Withstands temperature range from -25 ?C to 85 ?C. Based on MIL-STD-883H, METHOD 2002.5 military standard test method. Protected against X-ray exposure based on ISO7816-1 guidelines.*** Speed may vary due to host and device configuration.",13.99,GBP
84339956,,"RAM-D-235U RAM Double U-Bolt Ball Base for 1\"" - 1.25\"" Rails w/ D-Size 2.25-Inch Ball","RAM-D-235U RAM Double U-Bolt Ball Base for 1\"" - 1.25\"" Rails w/ D-Size 2.25-Inch BallOVERVIEWThe RAM-D-235U consists of a double u-bolt base with 2.25\"" diameter ball and two stainless steel u-bolts. The double u-bolt base will accommodate rails from 1\"" to 1.25\"" in diameter.HARDWARE INCLUDED(2) 1/4\""-20 U-Bolts for 1\"" - 1.25\"" Rails(4) 1/4\""-20 Nylock Nuts(4) Rubber CapsCLAMP RANGE1\"" - 1.25\"" diameterBALL/SOCKET SIZED Size (2.25\"")WEIGHT CAPACITY6 lbsMATERIALSMarine-grade aluminumPACKAGING TYPEPoly BagWEIGHT0.86 lbs.THIS PRODUCT SHIPS TO THE UPPER 48 UNITED STATES ONLY (NO INTERNATIONAL SHIPPING)",39.99,USD
4358136,Cisco,Cisco Catalyst WS-C2960X-24TD-L Stackable RackMountable Desktop 24 Ports Switch,,0.00,GBP
